idx,label,x,y,timestamp
0,question_mark,112,146,758943
1,question_mark,111,144,759010
2,question_mark,111,142,759027
3,question_mark,111,140,759039
4,question_mark,112,137,759056
5,question_mark,113,135,759068
6,question_mark,113,133,759076
7,question_mark,115,131,759088
8,question_mark,117,129,759104
9,question_mark,120,128,759116
10,question_mark,122,126,759129
11,question_mark,125,125,759141
12,question_mark,127,123,759153
13,question_mark,130,123,759165
14,question_mark,132,123,759177
15,question_mark,135,124,759190
16,question_mark,137,125,759203
17,question_mark,140,127,759216
18,question_mark,142,128,759227
19,question_mark,144,131,759240
20,question_mark,147,132,759252
21,question_mark,148,135,759262
22,question_mark,150,137,759272
23,question_mark,151,139,759282
24,question_mark,151,141,759293
25,question_mark,152,144,759305
26,question_mark,153,146,759318
27,question_mark,154,149,759329
28,question_mark,154,153,759343
29,question_mark,154,157,759354
30,question_mark,154,159,759367
31,question_mark,153,161,759379
32,question_mark,153,164,759380
33,question_mark,152,166,759393
34,question_mark,151,168,759406
35,question_mark,149,170,759420
36,question_mark,147,172,759433
37,question_mark,144,173,759446
38,question_mark,141,173,759459
39,question_mark,138,172,759473
40,question_mark,134,172,759487
41,question_mark,131,172,759501
42,question_mark,129,173,759516
43,question_mark,126,174,759530
44,question_mark,122,176,759545
45,question_mark,120,178,759560
46,question_mark,119,181,759575
47,question_mark,118,183,759591
48,question_mark,118,186,759606
49,question_mark,118,190,759622
50,question_mark,118,193,759638
51,question_mark,119,197,759654
52,question_mark,120,199,759671
53,question_mark,120,202,759687
54,question_mark,120,204,759689
55,question_mark,121,206,759724
